"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat bydgoski",135.527280844415,90,125436,55.9647947957524,14.9,363844,4.86303772441723,5793.56,"ziemski"
"Powiat będziński",115.451526174284,399.2,145429,57.3475716672741,22.6,245609,13.8211773442711,5671.96,"ziemski"
"Powiat ostrołęcki",187.422145526439,41.8,87503,95.6538632961156,15,320975,1.14281796052707,5661.05,"ziemski"
"Powiat sochaczewski",196.440785763143,113.4,83333,59.2802371209485,18.9,266584,1.08000432001728,6994.09,"ziemski"
"Powiat mikołowski",157.928555651493,427.8,99602,43.1718238589587,17.5,279952,4.41758197626554,5957.61,"ziemski"
"Powiat koniński",121.350372042861,81.7,128883,84.4176501167726,16.1,206546,4.03466710116928,4988.03,"ziemski"
"Powiat olsztyński",120.257805565204,45.6,129555,78.9626027555864,16.1,301877,5.24873605804485,5865.11,"ziemski"
"Powiat rypiński",375.567578011786,70.6,41404,73.1813351367018,18.9,188346,5.55501883875954,5140.39,"ziemski"
"Powiat oleśnicki",144.063260112133,101.5,106481,44.9845512344925,18.6,276398,10.2365680262206,5762.83,"ziemski"
"Powiat limanowski",116.382488654418,138.3,131549,48.9551421903625,14.1,222746,2.05246714152141,5183.78,"ziemski"
"Powiat radomszczański",140.646060887753,74.5,107575,72.6934696723216,21.2,246872,4.64792005577504,5333.33,"ziemski"
"Powiat ostródzki",150.986525505294,56.5,99744,44.4136990696182,18.8,238923,10.2261790182868,5403.55,"ziemski"
"Powiat nyski",114.956746267964,105.7,129353,58.2127975385186,21.6,212040,7.6534753735901,5717.73,"ziemski"
"Powiat grójecki",150.418399301812,76.8,97395,54.9309512808666,19.5,271451,2.97756558344884,6247.81,"ziemski"
"Powiat m. Ruda Śląska",110.999604658942,1694.1,131532,20.5273241492565,19.5,192578,7.29860414195785,6006.82,"grodzki"
"Powiat bialski",137.685966075997,38.3,105530,64.5314128683787,18.4,205622,2.84279351843078,5288.19,"ziemski"
"Powiat mielecki",108.685868586859,151.4,133320,45.5295529552955,18.3,296402,2.4002400240024,5845.43,"ziemski"
"Powiat braniewski",382.552640617157,31.4,37851,56.2732820797337,18.6,155873,6.34065150194182,5368.32,"ziemski"
"Powiat m. Włocławek",141.818965348377,1199.9,102102,29.4803235979707,24,274682,3.1341207811796,5892.16,"grodzki"
"Powiat gliwicki",124.179716135414,170.3,113223,39.5679323105729,18.3,229369,10.7751958524328,6067.07,"ziemski"
