powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat chrzanowski,1322,323.7,119719,570,21.6,238515,201,"6,020.61",ziemski
Powiat żniński,1313,69,67936,515,19.3,200242,44,"5,169.82",ziemski
Powiat kłodzki,1283,90.5,148681,577,23.2,220737,112,"5,670.31",ziemski
Powiat m. Konin,1276,827.6,68112,263,25,253069,258,"5,913.95",grodzki
Powiat brzeski,1265,99,86730,403,20,232829,28,"5,723.46",ziemski
Powiat m. Jastrzębie-Zdrój,1254,974.2,83139,201,21.3,182170,29,0.00,grodzki
Powiat ełcki,1250,79.6,88621,417,16.9,288258,25,"5,238.03",ziemski
Powiat m. Chorzów,1250,3058.6,101914,184,20.5,268258,186,"5,954.04",grodzki
Powiat m. Dąbrowa Górnicza,1242,608.1,114765,204,24,265746,56,"7,271.87",grodzki
Powiat międzyrzecki,1227,39.9,55357,165,19.9,203001,62,"5,695.99",ziemski
Powiat suski,1218,121.2,83127,400,17.1,241350,9,"5,555.61",ziemski
Powiat pszczyński,1215,235.4,110958,471,15.4,278954,32,"5,980.40",ziemski
Powiat myśliborski,1201,53,62668,160,20.1,225406,95,"5,671.63",ziemski
Powiat kłobucki,1201,92.8,82451,642,19.5,270315,21,"5,132.42",ziemski
Powiat jarosławski,1192,113.2,116458,591,18.5,223729,20,"5,308.03",ziemski
Powiat krotoszyński,1173,105.6,75317,397,18,214872,78,"4,772.92",ziemski
Powiat gnieźnieński,1154,113,141748,846,18.6,254333,125,"5,631.02",ziemski
Powiat gorzowski,1149,60.5,73480,334,15.8,277246,52,"6,162.20",ziemski
Powiat zduńskowolski,1138,172.7,63742,302,20.5,244665,18,"5,607.97",ziemski
Powiat krośnieński,1133,38.2,53105,257,19.4,201310,58,"5,730.70",ziemski
Powiat myszkowski,1110,142,68054,439,21.8,194914,30,"5,629.12",ziemski
Powiat wyszkowski,1101,83.8,73562,318,17.2,277751,11,"5,551.98",ziemski
Powiat iławski,1101,65.1,90218,501,17.7,245634,66,"5,080.82",ziemski
Powiat siedlecki,1097,50.2,80492,1151,17.1,253286,11,"5,411.82",ziemski
Powiat m. Legnica,1085,1652.9,93040,218,22.7,269990,50,"6,068.54",grodzki
Powiat bełchatowski,1076,112.7,109035,810,18.5,238010,85,"8,140.22",ziemski
Powiat nowomiejski,1069,60.8,42209,226,16.9,185674,16,"4,668.60",ziemski
Powiat stalowowolski,1045,122.2,101637,498,21.1,272212,17,"5,817.58",ziemski
Powiat radzyński,1043,57.5,55493,319,19,231380,12,"5,547.83",ziemski
Powiat m. Ostrołęka,1043,1455.8,48712,171,21.4,274001,18,"6,673.91",grodzki
Powiat łukowski,1029,72.8,101536,797,18.1,258245,18,"5,256.57",ziemski
Powiat m. Łomża,1022,1840.5,60128,177,19.8,316361,55,"5,827.01",grodzki
Powiat sierpecki,1010,57.1,48639,238,18.5,226090,28,"5,505.06",ziemski
Powiat dzierżoniowski,1008,200.3,95863,369,23.1,156434,122,"5,723.65",ziemski
Powiat kolski,1001,81.2,82104,788,19.9,193440,45,"5,976.51",ziemski
Powiat m. Jaworzno,1001,574.5,87552,404,20,260187,65,"7,568.06",grodzki
Powiat turecki,991,87.5,81377,557,18.1,222664,78,"5,049.40",ziemski
Powiat tomaszowski,990,108.8,111439,628,21.4,267399,65,"5,478.29",ziemski
Powiat buski,990,70.7,68470,1090,22.6,335624,37,"5,412.76",ziemski
Powiat mławski,980,58.8,69521,518,18.2,238321,45,"5,385.65",ziemski
Powiat brodnicki,976,75.1,78057,656,16.7,243130,76,"5,179.20",ziemski
Powiat gostyniński,961,69.3,42633,256,20.9,242540,8,"5,806.09",ziemski
Powiat krapkowicki,959,135.7,59963,179,18.9,231662,55,"6,424.68",ziemski
Powiat łódzki wschodni,957,148.8,74361,407,18.8,361893,31,"5,475.31",ziemski
Powiat łomżyński,949,36.7,49711,410,16.7,220196,7,"6,087.64",ziemski
Powiat jędrzejowski,947,65.1,81786,1182,21.4,212323,52,"5,829.63",ziemski
Powiat stargardzki,941,78.4,119190,635,19.6,256075,80,"5,605.44",ziemski
Powiat gorlicki,941,109.5,105782,689,18.1,232682,8,"5,027.39",ziemski
Powiat łaski,940,79.2,48992,266,20.5,217478,22,"5,241.99",ziemski
Powiat świecki,935,64.7,95359,756,18.2,226112,81,"5,795.79",ziemski
Powiat zielonogórski,934,55.5,74967,339,18.3,195004,91,"6,162.35",ziemski
Powiat kędzierzyńsko-kozielski,930,139.2,87011,455,21,182161,72,"6,760.49",ziemski
Powiat koszaliński,925,40.1,66364,426,17.2,375120,50,"5,601.77",ziemski
Powiat kaliski,920,71.1,82503,659,17.5,260026,26,"5,201.09",ziemski
Powiat starachowicki,919,161.5,84514,806,23.1,206006,33,"5,730.06",ziemski
Powiat oleski,910,63.3,61662,443,19.8,195288,13,"5,527.82",ziemski
Powiat m. Biała Podlaska,908,1108.7,54768,198,20,238097,14,"5,691.80",grodzki
Powiat bolesławiecki,907,67.5,87922,424,19.6,248481,67,"6,181.60",ziemski
Powiat głogowski,902,193.3,85689,387,21.2,263513,98,"5,856.76",ziemski
Powiat żarski,900,66,91897,363,19.6,177920,82,"6,172.02",ziemski
Powiat wieluński,900,79,73140,541,20.5,290097,29,"5,497.22",ziemski
Powiat chojnicki,900,70.5,96218,556,17.2,263520,153,"5,433.86",ziemski
Powiat ciechanowski,894,80.8,85627,567,19.7,269663,15,"6,213.79",ziemski
Powiat oławski,892,147.5,77300,376,19.4,317267,71,"6,030.47",ziemski
Powiat trzebnicki,883,85.2,87287,426,18,338313,140,"5,852.88",ziemski
Powiat zamojski,878,54.2,101388,988,20,182118,15,"4,926.90",ziemski
Powiat włocławski,875,56.1,82599,812,18.6,189718,33,"5,289.63",ziemski
Powiat tatrzański,860,141.1,66566,432,18.1,742870,11,"5,519.76",ziemski
Powiat pleszewski,856,86.3,61523,321,18.4,237181,96,"5,559.50",ziemski
Powiat m. Żory,855,956.3,61817,180,19.9,316920,50,"5,747.61",grodzki
Powiat wysokomazowiecki,854,41.8,53842,472,19.6,289805,23,"6,070.52",ziemski
Powiat m. Zamość,852,1943.4,58942,185,22.5,302644,28,"5,875.74",grodzki
Powiat wałbrzyski,849,123.5,53115,264,21.5,142251,95,"5,431.27",ziemski
Powiat świdnicki,843,148.6,69586,434,21.9,315497,213,"6,162.15",ziemski
Powiat jarociński,842,119,70037,446,18.1,241373,29,"5,391.40",ziemski
Powiat goleniowski,841,50.4,81486,448,18.4,231103,143,"5,991.11",ziemski
Powiat bartoszycki,834,40.7,53220,303,19.9,134437,126,"5,411.23",ziemski
Powiat raciborski,830,183.9,99974,429,19.3,222366,111,"6,823.09",ziemski
Powiat średzki,829,96.1,59847,370,16.5,265602,41,"6,078.30",ziemski
Powiat kościerski,827,62,72227,261,16,278272,47,"5,458.75",ziemski
Powiat jaworski,824,81.9,47584,244,21,211948,52,"6,142.84",ziemski
Powiat rybnicki,817,343.4,76816,209,16.7,178525,27,"5,660.84",ziemski
Powiat węgrowski,816,51,62271,267,20.2,223268,18,"5,786.65",ziemski
Powiat makowski,816,39.6,42109,305,19.8,190090,10,"5,493.65",ziemski
Powiat szamotulski,815,81.9,91649,369,17.2,280201,71,"6,309.72",ziemski
Powiat m. Piotrków Trybunalski,808,1000.4,67264,260,23.2,295095,23,"5,465.30",grodzki
Powiat przasnyski,801,40.5,49408,297,18.1,235836,37,"5,756.31",ziemski
Powiat staszowski,800,74.6,69001,1011,20.7,197915,18,"5,856.73",ziemski
Powiat kołobrzeski,797,105.9,77087,433,21.9,422288,202,"5,585.13",ziemski
